date,year,month,price_real_mon_cattle,price_cattle
1995-01-01,1995,1,51.31114396268509,24.76
1995-02-01,1995,2,50.27354185938286,24.4
1995-03-01,1995,3,47.35085120333113,23.23
1995-04-01,1995,4,44.449096168581875,22.24
1995-05-01,1995,5,42.88087594867225,21.02
1995-06-01,1995,6,41.283907835094666,20.55
1995-07-01,1995,7,44.798612662217884,22.8
1995-08-01,1995,8,45.87066612723246,23.75
1995-09-01,1995,9,44.93167753160143,22.7
1995-10-01,1995,10,45.489716169311045,22.95
1995-11-01,1995,11,46.53871178294959,23.83
1995-12-01,1995,12,41.43871671255154,21.09
1996-01-01,1996,1,40.14768287879426,20.7
1996-02-01,1996,2,40.71170913502138,21.09
1996-03-01,1996,3,40.044763911540535,20.73
1996-04-01,1996,4,40.651407160037856,21.13
1996-05-01,1996,5,39.22295979711638,20.66
1996-06-01,1996,6,39.14033186909896,20.81
1996-07-01,1996,7,42.15254146247444,22.72
1996-08-01,1996,8,43.4168422117455,23.39
1996-09-01,1996,9,42.88835026915901,23.2
1996-10-01,1996,10,44.28071838843543,24.01
1996-11-01,1996,11,41.156368867457495,22.37
1996-12-01,1996,12,39.91973261231224,21.96
1997-01-01,1997,1,39.60500102010365,22.15
1997-02-01,1997,2,40.38036590117019,22.66
1997-03-01,1997,3,40.153036018162,22.89
1997-04-01,1997,4,40.953356029412035,23.47
1997-05-01,1997,5,39.93943798180023,22.92
1997-06-01,1997,6,40.05182330783244,23.04
1997-07-01,1997,7,42.4378555871633,24.39
1997-08-01,1997,8,42.60621610583049,24.45
1997-09-01,1997,9,41.716739648796235,24.16
1997-10-01,1997,10,42.49028847582881,24.71
1997-11-01,1997,11,42.564612088446964,25.02
1997-12-01,1997,12,42.61943537584225,25.27
1998-01-01,1998,1,42.1997493471766,25.21
1998-02-01,1998,2,42.04210939396304,25.11
1998-03-01,1998,3,42.47743191257835,25.37
1998-04-01,1998,4,42.61538560522954,25.38
1998-05-01,1998,5,41.50241597111115,24.75
1998-06-01,1998,6,41.03106952020304,24.51
1998-07-01,1998,7,42.32523673636366,25.13
1998-08-01,1998,8,43.82288602288452,26.01
1998-09-01,1998,9,46.20298582361059,27.44
1998-10-01,1998,10,46.17131214712698,27.37
1998-11-01,1998,11,45.92674776017681,27.17
1998-12-01,1998,12,45.2896790029143,27.26
1999-01-01,1999,1,45.124078658296675,27.59
1999-02-01,1999,2,45.69261066462558,29.89
1999-03-01,1999,3,44.53267415770156,29.96
1999-04-01,1999,4,43.40260744742765,29.1
1999-05-01,1999,5,41.68593863446903,27.72
1999-06-01,1999,6,41.29337051686113,27.83
1999-07-01,1999,7,43.32138840414693,29.79
1999-08-01,1999,8,43.87511360705701,30.82
1999-09-01,1999,9,45.31031892177564,32.56
1999-10-01,1999,10,49.65201698458616,36.6
1999-11-01,1999,11,50.51075268817204,38.57
1999-12-01,1999,12,48.48994338265194,37.62
2000-01-01,2000,1,48.74070211035102,38.2
2000-02-01,2000,2,48.314350738587116,37.93
2000-03-01,2000,3,45.855292269884586,35.98
2000-04-01,2000,4,45.94013597689125,36.04
2000-05-01,2000,5,44.471242465204114,35.13
2000-06-01,2000,6,45.46929744174123,36.44
2000-07-01,2000,7,45.79010219900883,37.72
2000-08-01,2000,8,47.01249637172851,39.72
2000-09-01,2000,9,46.51851439199578,39.73
2000-10-01,2000,10,47.437392313738556,40.74
2000-11-01,2000,11,46.88832272454285,40.42
2000-12-01,2000,12,45.067532227116324,39.18
2001-01-01,2001,1,43.79954982310471,38.23
2001-02-01,2001,2,42.41974319865961,37.14
2001-03-01,2001,3,42.796913188883224,37.85
2001-04-01,2001,4,43.6828809926212,39.17
2001-05-01,2001,5,42.96965995805965,38.6
2001-06-01,2001,6,42.054551919845494,38.52
2001-07-01,2001,7,41.80619857550558,39.03
2001-08-01,2001,8,43.40645551450245,40.98
2001-09-01,2001,9,43.57914714022482,41.34
2001-10-01,2001,10,45.06133660561751,43.55
2001-11-01,2001,11,44.356371577185506,43.18
2001-12-01,2001,12,44.1612739416743,42.95
2002-01-01,2002,1,44.11644967649275,42.85
2002-02-01,2002,2,43.94232179243899,42.74
2002-03-01,2002,3,43.17693262991744,41.95
2002-04-01,2002,4,42.10783667728328,41.22
2002-05-01,2002,5,40.97545498469963,40.62
2002-06-01,2002,6,40.182326758311376,40.83
2002-07-01,2002,7,39.511950608227885,41.28
2002-08-01,2002,8,42.12324849927712,45.47
2002-09-01,2002,9,41.71708590747321,46.76
2002-10-01,2002,10,41.10596076433522,48.85
2002-11-01,2002,11,42.139997212589094,53.81
2002-12-01,2002,12,40.81236348565719,53.75
2003-01-01,2003,1,39.73804083476222,53.49
2003-02-01,2003,2,39.05544412050534,53.47
2003-03-01,2003,3,38.07967063183155,53.14
2003-04-01,2003,4,37.394531145791646,52.22
2003-05-01,2003,5,36.62722883847677,50.29
2003-06-01,2003,6,37.39682262550662,50.75
2003-07-01,2003,7,39.287639473546335,53
2003-08-01,2003,8,40.427009580598295,54.92
2003-09-01,2003,9,41.08286154896269,56.53
2003-10-01,2003,10,41.053213201951756,56.77
2003-11-01,2003,11,41.559454428069245,57.7322
2003-12-01,2003,12,41.00121453800778,57.3772
2004-01-01,2004,1,40.614011530514645,57.2642
2004-02-01,2004,2,39.13415510727236,55.9623
2004-03-01,2004,3,37.5597671981234,54.2954
2004-04-01,2004,4,36.55030537801104,53.6631
2004-05-01,2004,5,36.429503820880306,54.3979
2004-06-01,2004,6,36.55765345322028,55.4471
2004-07-01,2004,7,36.49671993679322,56.1008
2004-08-01,2004,8,36.81237141616548,57.4829
2004-09-01,2004,9,36.107001790055335,56.749
2004-10-01,2004,10,35.26977016716644,55.7726
2004-11-01,2004,11,35.470159853796474,56.6497
2004-12-01,2004,12,35.4179599170643,56.8374
2005-01-01,2005,1,34.727628863314614,55.7715
2005-02-01,2005,2,33.451135246841616,53.9307
2005-03-01,2005,3,32.11851019647224,52.3722
2005-04-01,2005,4,31.206118471970434,51.0541
2005-05-01,2005,5,31.19184545492774,50.5282
2005-06-01,2005,6,31.159256463133747,50.0812
2005-07-01,2005,7,31.290517153771795,49.9461
2005-08-01,2005,8,30.685743187440597,48.4699
2005-09-01,2005,9,30.279675225096835,47.6957
2005-10-01,2005,10,31.57955774516516,50.135
2005-11-01,2005,11,31.717833393125673,50.4776
2005-12-01,2005,12,30.582083052207604,48.6027
2006-01-01,2006,1,29.06415081666081,46.5627
2006-02-01,2006,2,28.80354936048104,46.0888
2006-03-01,2006,3,28.542822093740085,45.2994
2006-04-01,2006,4,28.573840502931123,45.2785
2006-05-01,2006,5,28.47377452012862,45.3264
2006-06-01,2006,6,27.704113651852293,44.5675
2006-07-01,2006,7,28.35319559771285,45.6876
2006-08-01,2006,8,31.454656061732585,50.9559
2006-09-01,2006,9,32.99892827723145,53.6057
2006-10-01,2006,10,34.7529911844501,57.1123
2006-11-01,2006,11,32.49249284722353,53.7985
2006-12-01,2006,12,31.382718654953887,52.0163
2007-01-01,2007,1,31.060113166531284,51.6471
2007-02-01,2007,2,31.292801803518127,52.1353
2007-03-01,2007,3,31.649252458300783,52.7859
2007-04-01,2007,4,31.31024036422162,52.23
2007-05-01,2007,5,30.911775372933974,51.5472
2007-06-01,2007,6,31.494856012346848,52.5688
2007-07-01,2007,7,34.15273702015118,57.2456
2007-08-01,2007,8,35.15865829346539,60.0841
2007-09-01,2007,9,33.62467401884544,58.4036
2007-10-01,2007,10,34.14902463173838,59.9189
2007-11-01,2007,11,37.53785036172987,66.8224
2007-12-01,2007,12,38.28510899464119,69.4479
2008-01-01,2008,1,37.38145973850769,68.542
2008-02-01,2008,2,36.96241661110872,68.1228
2008-03-01,2008,3,37.49866622940991,69.666
2008-04-01,2008,4,38.19319017348676,71.8766
2008-05-01,2008,5,39.20151930325324,75.4133
2008-06-01,2008,6,43.28405098939909,85.1753
2008-07-01,2008,7,43.10091957963905,85.903
2008-08-01,2008,8,43.43709402187009,85.8825
2008-09-01,2008,9,42.615795469394705,84.6292
2008-10-01,2008,10,42.2759951873416,85.0963
2008-11-01,2008,11,41.31553754294143,83.0208
2008-12-01,2008,12,39.4405883306657,78.5587
2009-01-01,2009,1,39.490063968941655,78.3995
2009-02-01,2009,2,38.56467868544237,76.3258
2009-03-01,2009,3,37.19926421711325,72.5508
2009-04-01,2009,4,37.20231105227009,72.4829
2009-05-01,2009,5,37.12376600081239,72.2595
2009-06-01,2009,6,38.3784058577848,74.2236
2009-07-01,2009,7,39.16580462295095,74.8652
2009-08-01,2009,8,39.10224762590285,74.7986
2009-09-01,2009,9,38.44053716755424,73.7435
2009-10-01,2009,10,38.425072386318604,73.6556
2009-11-01,2009,11,37.34451172972537,71.5566
2009-12-01,2009,12,36.9905367734431,70.6761
2010-01-01,2010,1,37.284251693822235,71.92
2010-02-01,2010,2,36.8291797435889,72.02
2010-03-01,2010,3,37.29327671340161,73.31
2010-04-01,2010,4,38.041240312478855,75.29
2010-05-01,2010,5,37.071010276213954,74.88
2010-06-01,2010,6,36.95574805856479,74.97
2010-07-01,2010,7,37.98924432963028,77.33
2010-08-01,2010,8,39.30877055411444,81.38
2010-09-01,2010,9,40.78021951519312,85.67
2010-10-01,2010,10,42.39952088820801,90.25
2010-11-01,2010,11,46.472522757751605,100.88
2010-12-01,2010,12,43.93443119483057,95.57
2011-01-01,2011,1,43.45250575116412,95.43
2011-02-01,2011,2,43.30726424954313,96.28
2011-03-01,2011,3,43.566485842551096,97.44
2011-04-01,2011,4,43.45132583714908,97.42
2011-05-01,2011,5,42.688885124295595,95.11
2011-06-01,2011,6,41.33247221468324,91.91
2011-07-01,2011,7,42.18943714891366,93.69
2011-08-01,2011,8,43.494613160819014,97.33
2011-09-01,2011,9,42.087807370183775,95.07
2011-10-01,2011,10,41.16575539449582,93.43
2011-11-01,2011,11,42.43027137105605,96.63
2011-12-01,2011,12,42.851397440434475,97.05
2012-01-01,2012,1,41.962769077853096,95.05
2012-02-01,2012,2,41.8258733085631,94.71
2012-03-01,2012,3,40.52565798116106,92.27
2012-04-01,2012,4,40.08733921858976,92.41
2012-05-01,2012,5,39.48729767947254,91.8508
2012-06-01,2012,6,38.780327690263576,91.013
2012-07-01,2012,7,37.8582029307172,90.7417
2012-08-01,2012,8,37.30160226183188,90.9861
2012-09-01,2012,9,38.14374820454017,94.0685
2012-10-01,2012,10,38.819201455828455,95.0835
2012-11-01,2012,11,39.20296783143557,96.1814
2012-12-01,2012,12,38.928853640211464,96.2144
2013-01-01,2013,1,38.884452939207115,96.1064
2013-02-01,2013,2,39.04512384594314,96.5859
2013-03-01,2013,3,38.900077635313856,96.3457
2013-04-01,2013,4,39.39174036357198,97.179
2013-05-01,2013,5,38.770135424429476,95.654
2013-06-01,2013,6,38.496742359862175,95.788
2013-07-01,2013,7,39.75214102474774,99.107
2013-08-01,2013,8,39.535323430217616,99.1428
2013-09-01,2013,9,39.352233074073524,100.559
2013-10-01,2013,10,41.046218737977654,105.6364
2013-11-01,2013,11,41.061711887664245,105.8033
2013-12-01,2013,12,41.74761009181644,108.4131
2014-01-01,2014,1,43.089083591012866,112.0256
2014-02-01,2014,2,43.0788888948341,113.118
2014-03-01,2014,3,44.030366061469834,117.8263
2014-04-01,2014,4,44.34057467896528,118.9716
2014-05-01,2014,5,44.305745421316466,117.4382
2014-06-01,2014,6,44.6686710930371,116.9732
2014-07-01,2014,7,45.65934023608236,118.3556
2014-08-01,2014,8,46.17579115587973,119.742
2014-09-01,2014,9,48.55587326397027,125.6841
2014-10-01,2014,10,48.89489249590013,127.4858
2014-11-01,2014,11,51.95669355751453,136.4236
2014-12-01,2014,12,52.131429467784464,138.2947
2015-01-01,2015,1,52.27278861637467,138.9819
2015-02-01,2015,2,51.814502367842884,138.3249
2015-03-01,2015,3,52.0785338884172,140.7505
2015-04-01,2015,4,53.03458461360372,144.9307
2015-05-01,2015,5,53.097254486846495,145.3728
2015-06-01,2015,6,52.65610595488352,144.7888
2015-07-01,2015,7,52.29048632849171,144.6617
2015-08-01,2015,8,52.14582351253442,144.8944
2015-09-01,2015,9,51.1837835460151,145.0947
2015-10-01,2015,10,50.0579370275175,145.2749
2015-11-01,2015,11,49.81408666746522,146.6044
2015-12-01,2015,12,50.03784382951365,147.7546
2016-01-01,2016,1,49.57715437134687,148.7737
2016-02-01,2016,2,49.81837065332854,150.7532
2016-03-01,2016,3,49.90172041523103,151.5696
2016-04-01,2016,4,49.45089662657355,150.6338
2016-05-01,2016,5,47.16492160377836,145.8097
2016-06-01,2016,6,46.60753144993214,147.1123
2016-07-01,2016,7,47.09008421747299,147.4355
2016-08-01,2016,8,46.62316840579403,146.7027
2016-09-01,2016,9,46.81412250992551,147.2596
2016-10-01,2016,10,47.50724742901411,149.5015
2016-11-01,2016,11,47.513470383486464,149.5111
2016-12-01,2016,12,46.77046765311408,148.7866
2017-01-01,2017,1,46.59107142857143,148.7187
2017-02-01,2017,2,45.946514893706244,146.4797
2017-03-01,2017,3,45.366151188595126,143.4974
2017-04-01,2017,4,45.184451396464276,140.122
2017-05-01,2017,5,44.8972117851111,137.6968
2017-06-01,2017,6,43.24257578993819,130.5877
2017-07-01,2017,7,42.602275944125125,127.7957
2017-08-01,2017,8,42.781138148714014,128.6654
2017-09-01,2017,9,46.98285033689144,142.6781
2017-10-01,2017,10,45.814975108585266,139.0897
2017-11-01,2017,11,45.186041337840095,138.641
2017-12-01,2017,12,45.08817997887796,139.8168
